Nummer,Sector,Ligging,Oppervlakte,Eigenaar,Datum,Bron,Opmerkingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100059,"polder ""die Woutweeren""",Scoors Wuerffkamp,739 ½ roeden,Hillebrant Slooven,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100060,"polder ""die Woutweeren""",Groopke lant,703 ¼ roeden,Sijmse Taeties ,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100061,"polder ""die Woutweeren""","""Garbrant Sanes deymt"" ",431 roeden,Jan Cornelissen,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100062,"polder ""die Woutweeren""",7 ackeren,1255 roeden,Lijsbeth,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100063,"polder ""die Woutweeren""",grote Verlaent ven,977 roeden,Jan Clasen Keller ,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100064,"polder ""die Woutweeren""",werffkamp,1232 ½ roeden,Hillebrant Slove,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100065,"polder ""die Woutweeren""",voor Nelle weer,956 roeden,Mieus Stockert,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100066,"polder ""die Woutweeren""",op Room,"lant, 803 roeden",Claes Semmen,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100067,"polder ""die Woutweeren""",Saddicken,414 roeden,Jan Claesen Keller,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100068,"polder ""die Woutweeren""",leege venke,609 roeden,Lysbet Jans,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100069,"polder ""die Woutweeren""","""5 deymt""",737 ¾ roeden,Dirck maet,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100070,"polder ""die Woutweeren""","""5 deymt""",907 roeden,Hillebrant Heynses Sloven,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100071,"polder ""die Woutweeren""",Smael,667 roeden,Heyn Jan van Sames kinderen,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100072,"polder ""die Woutweeren""",after Nelle weer,598 ½  roeden,Claes Leeckamens,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100073,"polder ""die Woutweeren""",1721 roeden ven,1721 roeden,Trijn Pieter Vaer,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100074,"polder ""die Woutweeren""","""after ven""",759 roeden,Griet en Trijn Pieter Vaers ,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100075,"polder ""die Woutweeren""",After Ven,806 ½ roeden,Alet Nieses ,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100076,"polder ""die Woutweeren""",Noom Heynen lant,1222 ¼ roeden,Bartien,1589,fol 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100077,"polder ""die Woutweeren""",lant after Noom Heijnes,583 roeden,Eecht Lobrichs,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100078,"polder ""die Woutweeren""",lantien,660 roeden,Stijn Jan te Claris,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100079,"polder ""die Woutweeren""",halichien,559 roeden,Cornelis Wilmses,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100080,"polder ""die Woutweeren""",op de dycksloot,1257 ½ roeden,Trijn Dircken,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100081,"polder ""die Woutweeren""",944 roeden land,944 roeden,Marij Symes,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100082,"polder ""die Woutweeren""",Bloemer,1040 roeden,Hein Beijmers Bloemer,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100083,"polder ""die Woutweeren""","""after Gaveweer""",1495 ½ roeden,Eeffmoer,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100084,"polder ""die Woutweeren""","""het voor Gaveweer""","1511 roeden, riet 22 roeden","Geertie Paters en Leeckman, samen",1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100085,"polder ""die Woutweeren""",Meynerde ven,757 roeden,Eeffmoer,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100086,"polder ""die Woutweeren""",Moenenven,"1269 roeden, riet 4 roeden",Geertie Paters en Leeckman ,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100087,"polder ""die Woutweeren""","""4 lutke deymt""","786 roeden, riet 2 roeden ",Neel t Aechies,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100088,"polder ""die Woutweeren""",Jaep venke ,830 ½ roeden,Jaep alijas Nieses,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100089,"polder ""die Woutweeren""",Duintkes ven,830 roeden,Heijn Jan Vesanes kinderen,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100090,"polder ""die Woutweeren""","""4 deymt""",1108 ¾ roeden,Eeffmoer,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100091,"polder ""die Woutweeren""",Butterkamp,711 ½ roeden,Claes Sem Bruekel,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100092,"polder ""die Woutweeren""",Butterkampien,312 ¼ roeden,Jan Bom,1589,fol 69v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100093,"polder ""die Woutweeren""",Butterkampien,435 roeden,Cornelis Clasen Ffutserfname ,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100094,"polder ""die Woutweeren""","""Butterkampien"", op die dijcksloot ",533 roeden,Jan Garbrantses,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100095,"""het eijlant met die Woutweeren gemeen""",,,,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100096,"""het eijlant met die Woutweeren gemeen""",,"1170 roeden, an riet 165 roeden",,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100097,"""het eijlant met die Woutweeren gemeen""",noort,"1301 ¼ roeden, an riet 60 roeden",Pieter Mieuses ,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100098,"""het eijlant met die Woutweeren gemeen""",Pilgrimsven,"1634 roeden, an riet 18 roeden",moeijke Lijs c.s.,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100099,"""het eijlant met die Woutweeren gemeen""",Karveling,"1570 ½ roeden, an riet 30 roeden",Neel Kornelis,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100100,"""het eijlant met die Woutweeren gemeen""",Timp,"1127 roeden, an riet 28 roeden",Trijn Ffijes,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100101,"""het eijlant met die Woutweeren gemeen""",Tympshalich,165 roeden,Claes Leeckman,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100102,"""polder die Kinneweeren""",,,,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100103,"""polder die Kinneweeren""","""Keereven""",736 roeden,die kerck van Broock,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100104,"""polder die Kinneweeren""",Jan Appels ven,635 roeden,Trijntie pottebackers,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100105,"""polder die Kinneweeren""",Jan Apels ven,697 roeden,Noom Jaep,1589,fol 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100106,"""polder die Kinneweeren""",de wuerffkamp bij Syme Martses ,624 roeden,die kerck ,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100107,"""polder die Kinneweeren""",Wuerffkamp,566 ½ roeden,Claes Jan Rooms,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100108,"""polder die Kinneweeren""",land,838 roeden,Neel Claes Hilles,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100109,"""polder die Kinneweeren""",wuerfkampien,590 roeden,Claes Sem Bruekel,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100110,"""polder die Kinneweeren""",Strengel,"die Kercke Strengel 634 roeden, een cleyn Kercke strengeltien 45 ½ roeden",die kerck,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100111,"""polder die Kinneweeren""",de Uyterste Ven,1068 roeden,Dirck Sael,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100112,"""polder die Kinneweeren""",Symes weer,1146 roeden,Marij Mieus,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100113,"""polder die Kinneweeren""",wuerffkamp,874 ½ roeden,Pieter Mieuses,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100114,"""polder die Kinneweeren""",Wuerffkamp,1021 roeden,Marij Meelis,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100115,"""polder die Kinneweeren""","""3 Coeven""",850 roeden,Mary Nellis,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100116,"""polder die Kinneweeren""",Uyterste ven,1477 roeden,Boske,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100117,"""polder die Kinneweeren""",Viskers knopien,943 roeden,Claes Mieusen,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100118,"""polder die Kinneweeren""",wuerffkamp,819 roeden,Cornelis Bavis,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100119,"""polder die Kinneweeren""",wuerffkamp,607 roeden,Heijn in t Oost,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100120,"""polder die Kinneweeren""",werffkampien,812 roeden,Jaep Claes Ffijes,1589,fol 70v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100121,"""polder die Kinneweeren""","""Beert Everts lant"" ",653 roeden,Syme tappers wedu,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100122,"""polder die Kinneweeren""","""Beert Everts lant"" ",973 ½  en 1143 roeden,Wem Neel Belijs,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100123,"""polder die Kinneweeren""",Loopersven,886 roeden,Lysie Claes Hages,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100124,"""polder die Kinneweeren""",afterlant,1041 roeden,Ysbrant Janses,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100125,"""polder die Kinneweeren""",voorlant,729 roeden,Eech Nannes,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100126,"""polder die Kinneweeren""",kamp,539 ¼ roeden,ouwe Jan van Bentes,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100127,"""polder die Kinneweeren""",laen,123 roeden,oude Jan van Bentes,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100128,"""polder die Kinneweeren""",Dircks lant,664 roeden,Geert Lijves,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100129,"""polder die Kinneweeren""","Lopersven, suitkant",860 roeden,Eecht Nannes ,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100130,"""polder die Kinneweeren""",Claren ventien,691 roeden,Niesie Pieter Gaels,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100131,"""polder die Kinneweeren""",Pieter Wijngerts ven,953 ½ roeden,Geert Potters ,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100132,"""polder die Kinneweeren""",Lobbenven,1087 roeden,Trijn Ffijes,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100133,"""polder die Kinneweeren""","""3 deijmt""",875 roeden,Jannemans kinderen,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100134,"""polder die Kinneweeren""",wuerffkamp,838 roeden,jonge Jan van Bentes,1589,fol 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100135,"""polder die Kinneweeren""",wuerffcampien,1281 roeden,Claes Broeris,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100136,"""polder die Kinneweeren""",Drogerslant,1172 roeden,Claes Mieuses,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100137,"""polder die Kinneweeren""","""het grote stuck""",1361 roeden,Lijsbet timmermans,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100138,"""polder die Kinneweeren""","""7 ackeren""",1019 roeden,Claes Claeses ,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100139,"""polder die Kinneweeren""","""9 Swaed""",834 roeden,Claes Claesen Diecken,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100140,"""polder die Kinneweeren""",Tymes ven,918 roeden,Pouwels Billert,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100141,"""polder die Kinneweeren""",wuerffkamp,830 roeden,Pieter Gael,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100142,"""polder die Kinneweeren""",ackeren,742 roeden,Claes Jansen Roongs,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100143,"""polder die Kinneweeren""",Smael,617 roeden,Sane van Broock,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100144,"""polder die Kinneweeren""",Tymes ven,621 roeden,Kees Banis,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100145,"""polder die Kinneweeren""",het noorderst van jonge Lijs ven,678 roeden,Kees Banis,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100146,"""polder die Kinneweeren""",die suitsij van jonge Lijs ven,676 roeden,Mieus Stockert,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100147,"""polder die Kinneweeren""","""Dirck Roers lant""",1162 roeden,Mieus Stockert,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100148,"""polder die Kinneweeren""",Vrouke deymt,814 roeden,Lange Kees,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100149,"""polder die Kinneweeren""",Ffuers weer,1362 roeden,Claes Jansen Rongs,1589,fol 71v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100150,"""polder die Kinneweeren""",Gerbrichs weer,968 roeden,Syme Jape ,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100151,"""polder die Kinneweeren""",Stocken,1113 roeden,Jaep van Bentes,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100152,"""polder die Kinneweeren""","""after Stocken""",604 roeden,Jaep van Bentes,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
